English;Português;简体中文;繁體中文
<style="LYellow">Flowers</style> will heal you by a percentage of the enemy's <style="Green">Max HP</style>. If there are more than <style="LYellow">5</style> enemies on top of it, the <style="LYellow">flower</style> will die prematurely.;<style="LYellow">Flores</style> curam por uma percentagem da <style="Green">Vida Máxima</style> do inimigo. Se houverem mais de <style="LYellow">5</style> inimigos a pisarem na mesma <style="LYellow">flor</style>, ela murchará prematuramente;<style="LYellow">花朵</style>会基于敌人的<style="Green">最大生命值</style>为你恢复一定比例的生命值。如果有超过<style="LYellow">5</style>个敌人站在上面，<style="LYellow">花朵</style>会提前枯萎;<style="LYellow">花朵</style>會基於敵人的<style="Green">最大生命值</style>為你恢復一定比例的生命值。如果有超過<style="LYellow">5</style>個敵人站在上面，<style="LYellow">花朵</style>會提前枯萎
<style="LYellow">Flowers</style> can handle <style="LYellow">+10</style> more enemies on top of them before dying;<style="LYellow">Flores</style> poderão aguentar com <style="LYellow">+10</style> inimigos em cima delas antes de murcharem;<style="LYellow">花朵</style>可以承受<style="LYellow">+10</style>个敌人站在上面而不会枯萎;<style="LYellow">花朵</style>可以承受<style="LYellow">+10</style>個敵人站在上面而不會枯萎
Dying <style="LYellow">flowers</style> will <style="Blue">stun</style> enemies for <style="LYellow">1 second</style>;<style="LYellow">Flores</style> que murcherm irão <style="Blue">atordoar</style> inimigos por <style="LYellow">1 segundo</style>;枯萎的<style="LYellow">花朵</style>会使敌人<style="Blue">眩晕</style><style="LYellow">1秒</style>;枯萎的<style="LYellow">花朵</style>會使敵人<style="Blue">眩暈</style><style="LYellow">1秒</style>
Pirate;Pirata;海盗;海盜
<style="LYellow">Roundshots</style> will shoot out of dead enemies, dealing <style="Red">damage</style> and applying <style="Pink">On-Hit Effects</style> to the enemies they it. Additionally, loot <style="LYellow">+10 Embers</style>;<style="LYellow">Balas de Canhão</style> sairão disparadas de inimigos mortos, causando <style="Red">dano</style> e aplicando <style="Pink">Efeitos de Contacto</style> a inimigos que acertem. Além disso, saca <style="LYellow">+10 Embers</style> por cada ativação desta habilidade;死亡的敌人将射出<style="LYellow">炮弹</style>，对击中的敌人造成<style="Red">伤害</style>并触发<style="Pink">命中效果</style>。此外，掉落<style="LYellow">+10余烬</style>;死亡的敵人將射出<style="LYellow">炮彈</style>，對擊中的敵人造成<style="Red">傷害</style>並觸發<style="Pink">命中效果</style>。此外，掉落<style="LYellow">+10餘燼</style>
<style="LYellow">Roundshots</style> will be aimed towards nearby enemies;<style="LYellow">Balas de Canhão</style> serão apontadas para inimigos próximos;<style="LYellow">炮弹</style>会锁定附近的敌人;<style="LYellow">炮彈</style>會鎖定附近的敵人
Every increase in <style="LYellow">Roundshot</style> amount is doubled;Qualquer aumento na quantidade de <style="LYellow">Balas de Canhão</style> é duplicado;<style="LYellow">炮弹</style>数量的提升会翻倍;<style="LYellow">炮彈</style>數量的提升會翻倍
Resonance;Ressonância;共鸣;共鳴
Use the power of <style="LYellow">Sound</style> to shred enemy <style="Grey">Armor;Usa o poder do <style="LYellow">Som</style> para triturar a <style="Grey">Armadura</style> de inimigos;利用<style="LYellow">声波</style>的力量削弱敌人的<style="Grey">护甲</style>;利用<style="LYellow">聲波</style>的力量削弱敵人的<style="Grey">護甲</style>
Shred up to <style="LYellow">20%</style> more <style="Grey">Armor</style> based on <style="LBlue">Bullet Speed</style> and <style="LBlue">Accuracy;Tritura até mais <style="LYellow">20%</style> de <style="Grey">Armadura</style> a mais baseado na <style="LBlue">Velocidade de Chama</style> e <style="LBlue">Precisão;根据<style="LBlue">子弹速度</style>和<style="LBlue">精准度</style>，最多额外削弱<style="LYellow">20%</style>的<style="Grey">护甲</style>;根據<style="LBlue">子彈速度</style>和<style="LBlue">精準度</style>，最多額外削弱<style="LYellow">20%</style>的<style="Grey">護甲</style>
<style="Green">Heal</style> for the amount of <style="Grey">Armor Shredded;<style="Green">Cura</style> pela quantiade de <style="Grey">Armadura</style> triturada;根据<style="Grey">护甲削弱量</style>，<style="Green">恢复</style>生命值;根據<style="Grey">護甲削弱量</style>，<style="Green">恢復</style>生命值
Thorns;Espinhos;尖刺;尖刺
Enemies that directly hit you get <style="Red">damaged</style> back by a percentage of your <style="Grey">armor;Inimigos que te atinjam diretamente serão <style="Red">danificados</style> de volta por uma percentagem da tua <style="Grey">armadura;直接攻击你的敌人会受到你 <style="Grey"> 护甲</style> 一定百分比的 <style="Red"> 反伤</style>;直接攻擊你的敵人會受到你 <style="Grey"> 護甲</style> 一定百分比的 <style="Red"> 反傷</style>
<style="Yellow">Thorns</style> will proc <style="Pink">On-Hit Effects;<style="Yellow">Espinhos</style> irá aplicar <style="Pink">Efeitos de Contacto;<style="Yellow"> 尖刺</style> 会触发 <style="Pink"> 命中效果</style>;<style="Yellow"> 尖刺</style> 會觸發 <style="Pink"> 命中效果</style>
<style="Yellow">Thorns</style> will deal <style="Red">damaged</style> in <style="LYellow">area</style> instead of only <style="Red">damaging</style> the attacker;<style="Yellow">Espinhos</style> irá causar <style="Red">dano</style> em <style="LYellow">área</style> em vez de apenas ao atacante;<style="Yellow">尖刺</style>会对<style="LYellow">范围内</style>的敌人造成<style="Red">伤害</style>;<style="Yellow">尖刺</style>會對<style="LYellow">範圍內</style>的敵人造成<style="Red">傷害</style>
Explosion;Explosão;爆炸;爆炸
Killing an enemy can generate an <style="LYellow">Explosion</style>, damaging nearby enemies.;Matar um inimigo pode gerar uma <style="LYellow">Explosão</style>, danificando inimigos próximos;击杀敌人可引发 <style="LYellow"> 爆炸</style>，对周围敌人造成伤害;擊殺敵人可引發 <style="LYellow"> 爆炸</style>，對周圍敵人造成傷害
<style="LYellow">Explosions</style> grow by <style="LYellow">50%</style>;<style="LYellow">Explosões</style> aumentam em <style="LYellow">50%</style>;<style="LYellow"> 爆炸</style> 范围扩大 <style="LYellow">50%</style>;<style="LYellow"> 爆炸</style> 範圍擴大 <style="LYellow">50%</style>
Every <style="LYellow">20 Explosions</style> generate one that deals <style="Red">True Damage;A cada <style="LYellow">20 Explosões</style> gera uma que causa <style="Red">Dano Verdadeiro;每<style="LYellow">20次爆炸</style>会触发一次<style="Red">真实伤害</style>的爆炸;每<style="LYellow">20次爆炸</style>會觸發一次<style="Red">真實傷害</style>的爆炸
Immolate;Imolador;献祭;獻祭
Release <style="Orange">Immolating</style> waves that travel through the <style="LYellow">campsite,</style> dealing <style="Red">damage</style> to everyone hit;Liberta uma onde <style="Orange">imoladora</style> que atravessa um <style="LYellow">campo,</style> causando <style="Red">dano</style> a todos os que atinge;释放 <style="Orange"> 热浪</style>席卷<style="LYellow">营地</style>，对击中的所有敌人造成<style="Red">伤害</style>;釋放 <style="Orange"> 熱浪</style>席捲<style="LYellow">營地</style>，對擊中的所有敵人造成<style="Red">傷害</style>
Starting <style="LYellow">interval</style> gets reduced in half;O <style="LYellow">intervalo</style> inicial é reduzido a metade;初始<style="LYellow">间隔</style>减半;初始<style="LYellow">間隔</style>減半
Minimum <style="LYellow">interval</style> gets reduced in half;O <style="LYellow">interval</style> mínimo é reduzido a metade;最小<style="LYellow">间隔</style>减半;最小<style="LYellow">間隔</style>減半
Gain the ability to <style="LYellow">multiply</style> earned <style="LYellow">Embers</style> and <style="LYellow">generate</style> them per round;Ganha a habilidade de <style="LYellow">multiplicar</style> <style="LYellow">Brasas</style> obtidas e <style="LYellow">gerá-las</style> por ronda;获得<style="LYellow">翻倍</style>获取<style="LYellow">余烬</style>的能力，并每回合自动<style="LYellow">生成</style>余烬;獲得<style="LYellow">翻倍</style>獲取<style="LYellow">餘燼</style>的能力，並每回合自動<style="LYellow">生成</style>餘燼
0.01% chance of seeing a <style="Blue"><sprite name="Shiny"> Shiny</style> Animal. <style="Blue"><sprite name="Shiny"> Shiny</style> animal drops are multiplied by <style="LYellow">x10;0.01% chance de aparecer um animal <style="Blue"><sprite name="Shiny"> Radiante</style>. Animais <style="Blue"><sprite name="Shiny"> Radiantes</style> valem <style="LYellow">x10</style> mais brasas;0.01%概率遇见<style="Blue"><sprite name="Shiny">稀有</style>动物。稀有动物掉落物奖励<style="LYellow">×10倍</style>;0.01%機率遇見<style="Blue"><sprite name="Shiny">稀有</style>動物。稀有動物掉落物獎勵<style="LYellow">×10倍</style>
0.1% chance of seeing a <style="Blue"><sprite name="Shiny"> Shiny</style> Animal.<style="Blue"><sprite name="Shiny"> Shiny</style> animal drops are multiplied by <style="LYellow">x100;0.1% chance de aparecer um animal <style="Blue"><sprite name="Shiny"> Radiante</style>. Animais <style="Blue"><sprite name="Shiny"> Radiantes</style> valem <style="LYellow">x100</style> mais brasas;0.1%概率遇见<style="Blue"><sprite name="Shiny">稀有</style>动物。稀有动物掉落物奖励<style="LYellow">×100倍</style>;0.1%機率遇見<style="Blue"><sprite name="Shiny">稀有</style>動物。稀有動物掉落物獎勵<style="LYellow">×100倍</style>
Gain the ability to <style="LYellow">gamble</style> for augments during the <style="LYellow">Augment Picking</style> phase;Ganha a habilidade de <style="LYellow">apostar</style> por aumentos durante a fase de <style="LYellow">Escolha</style>;获得在<style="LYellow">强化选择</style>阶段进行<style="LYellow">幸运博弈</style>强化的能力;獲得在<style="LYellow">強化選擇</style>階段進行<style="LYellow">幸運博弈</style>強化的能力
<style="LYellow">Gambling Augments</style> will be able to pick other <style="LYellow">Gambling Augments</style>;<style="LYellow">Aumentos de Aposta</style> poderão escolher outros <style="LYellow">Aumentos de Aposta</style>;<style="LYellow">幸运博弈强化</style>将可以选择其他<style="LYellow">幸运博弈强化</style>效果;<style="LYellow">幸運博弈強化</style>將可以選擇其他<style="LYellow">幸運博弈強化</style>效果
Gambling;Aposta;幸运博弈;幸運博弈
Bursting will increase the amount of fireballs in your next <style="LYellow">Burst</style> by <style="LYellow">+1.</style> The amount of extra fireballs gained through this passive is reset at the end of each round;A cada <style="LYellow">Rajada</style> aumenta a quantidade de chamas da próxima <style="LYellow">Rajada</style> por <style="LYellow">+1.</style> A quantidade de chamas extra acumuladas através desta passiva é reposta no final de cada ronda;狂怒会使你下一次<style="LYellow">多重射击</style>的火球数量增加<style="LYellow">+1</style>。该被动获得的额外火球数量会在每回合结束时重置。;狂怒會使你下一次<style="LYellow">多重射擊</style>的火球數量增加<style="LYellow">+1</style>。該被動獲得的額外火球數量會在每回合結束時重設。
<style="Yellow>Burst</style> every time you get hit;Lança uma <style="Yellow>Rajada</style> cada vez que és atingido;每次受到攻击将触发<style="Yellow">狂怒</style>;每次受到攻擊將觸發<style="Yellow">狂怒</style>
Chance to get a <style="LYellow">gambling</style> augment gets <style="LYellow">doubled;A probabilidade de calhar aumentos de <style="LYellow">aposta</style> é <style="LYellow">duplicada;<style="LYellow">幸运博弈</style>强化的几率<style="LYellow">翻倍</style>;<style="LYellow">幸運博弈</style>強化的機率<style="LYellow">翻倍</style>
#;;;
#;;;
#=========================== CHARACTERS ===========================#;;;
<size=100%><style="Yellow">- Ability -</style><size=80%><br>{0};<size=100%><style="Yellow">- Habilidade -</style><size=80%><br>{0};<size=100%><style="Yellow">- 能力 -</style><size=80%><br>{0};<size=100%><style="Yellow">- 能力 -</style><size=80%><br>{0}
<size=100%><style="Yellow">- Ability -</style><size=80%><br>???;<size=100%><style="Yellow">- Habilidade -</style><size=80%><br>???;<size=100%><style="Yellow">- 能力 -</style><size=80%><br>???;<size=100%><style="Yellow">- 能力 -</style><size=80%><br>???
Requires {0};Requere {0};需要 {0};需要 {0}
Earth Monk;Monge da Terra;大地僧侣;大地僧侶
Everytime <style="Yellow">Immolate</style> hits an enemy gain <style="Grey">+1 Shield</style> for a max of 0.3 of your <style="Green">Max HP</style>;Sempre que uma <style="Yellow">Onda Imolante</style> atinge um inimigo ganha <style="Grey">+1 Escudo</style> até um máximo de 30% da tua <style="Green">Vida Máxima</style>;当敌人受到<style="Yellow">献祭</style>伤害时， <style="Grey">+1 护盾</style>，护盾上限为你 <style="Green"> 最大生命值</style> 的 0.3 倍;當敵人受到<style="Yellow">獻祭</style>傷害時， <style="Grey">+1 護盾</style>，護盾上限為你 <style="Green"> 最大生命值</style> 的 0.3 倍
Mt. Vesuvius;Monte Vesúvio;维苏威;維蘇威
A Permanent <style="Yellow">Lava Pool</style> will sit by Mt. Vesuvius;Uma <style="Yellow">Poça de Lava</style> permanente ficará ao redor da lareira;在维苏威火山旁生成一个永久的<style="Yellow">熔岩池</style>;在維蘇威火山旁生成一個永久的<style="Yellow">熔岩池</style>
